pop1	pop2	Chr	start	end	avg_hudson_fst	no_snps	winCenter	is_outlier
Urban	Rural	Chr07_Occ	18250001	18300000	0.0272725171098245	366	18275000	1
Urban	Rural	Chr07_Occ	21100001	21150000	0.0215819769906925	486	21125000	1
Urban	Rural	Chr07_Occ	23150001	23200000	0.0259151094059185	135	23175000	1
Urban	Rural	Chr07_Occ	23700001	23750000	0.0329686839646443	315	23725000	1
Urban	Rural	Chr07_Occ	24000001	24050000	0.0389389449650722	111	24025000	1
Urban	Rural	Chr07_Occ	29750001	29800000	0.0228247372997597	516	29775000	1
Urban	Rural	Chr07_Occ	29800001	29850000	0.0216677357745233	490	29825000	1
Urban	Rural	Chr07_Occ	29850001	29900000	0.0250361513894088	811	29875000	1
Urban	Rural	Chr07_Occ	38950001	39000000	0.0495889328652459	105	38975000	1
Urban	Rural	Chr07_Occ	39000001	39050000	0.0325914812036342	184	39025000	1
Urban	Rural	Chr07_Occ	41150001	41200000	0.0314072822520807	311	41175000	1
Urban	Rural	Chr07_Occ	41200001	41250000	0.039886977147463	240	41225000	1
Urban	Rural	Chr07_Occ	41250001	41300000	0.0266462252528069	184	41275000	1
Urban	Rural	Chr07_Occ	43600001	43650000	0.0226435567163741	323	43625000	1
Urban	Rural	Chr07_Occ	47650001	47700000	0.0304664081035388	239	47675000	1
Urban	Rural	Chr07_Occ	49750001	49800000	0.0264340141680879	157	49775000	1
Urban	Rural	Chr07_Occ	49800001	49850000	0.0408256577685867	243	49825000	1
Urban	Rural	Chr07_Occ	49850001	49900000	0.0233443067056824	94	49875000	1
Urban	Rural	Chr07_Occ	50050001	50100000	0.0310204175230101	122	50075000	1
Urban	Rural	Chr07_Occ	52150001	52200000	0.0299196205283892	282	52175000	1
Urban	Rural	Chr07_Pall	14700001	14750000	0.0313619824193675	266	14725000	1
Urban	Rural	Chr07_Pall	16100001	16150000	0.0250862136203592	90	16125000	1
Urban	Rural	Chr07_Pall	16700001	16750000	0.021522397607716	186	16725000	1
Urban	Rural	Chr07_Pall	29400001	29450000	0.0232568041889637	392	29425000	1
Urban	Rural	Chr07_Pall	46750001	46800000	0.0209898191115193	312	46775000	1
Urban	Rural	Chr07_Pall	48350001	48400000	0.0222391917685674	177	48375000	1
Urban	Rural	Chr07_Pall	49450001	49500000	0.0395279895752857	183	49475000	1
Urban	Rural	Chr08_Occ	1300001	1350000	0.0217084115398733	270	1325000	1
Urban	Rural	Chr08_Occ	2650001	2700000	0.0257150974846217	71	2675000	1
Urban	Rural	Chr08_Occ	14050001	14100000	0.0256149565051533	151	14075000	1
Urban	Rural	Chr08_Occ	19800001	19850000	0.0450028032270139	392	19825000	1
Urban	Rural	Chr08_Occ	27250001	27300000	0.0355670112149499	267	27275000	1
Urban	Rural	Chr08_Occ	30900001	30950000	0.0231253077353329	124	30925000	1
Urban	Rural	Chr08_Occ	30950001	31000000	0.0279111122071043	387	30975000	1
Urban	Rural	Chr08_Occ	42300001	42350000	0.0210603831845034	53	42325000	1
Urban	Rural	Chr08_Occ	63750001	63800000	0.0211891531802175	281	63775000	1
Urban	Rural	Chr08_Pall	3100001	3150000	0.0325675599509164	184	3125000	1
Urban	Rural	Chr08_Pall	7650001	7700000	0.0267576783404001	125	7675000	1
Urban	Rural	Chr08_Pall	15500001	15550000	0.0239157438023758	164	15525000	1
Urban	Rural	Chr08_Pall	16600001	16650000	0.0435279016704053	128	16625000	1
Urban	Rural	Chr08_Pall	19300001	19350000	0.0283929664509835	306	19325000	1
Urban	Rural	Chr08_Pall	30450001	30500000	0.0344533796453606	195	30475000	1
Urban	Rural	Chr08_Pall	40900001	40950000	0.0212260170200485	480	40925000	1
