Chr	start	end	direction	gene_id	gene_symbol	product
5	56900000	57000000	Urban	ACLI19_g23962	NA	thaumatin-like protein 1b [Trifolium pratense]
5	56900000	57000000	Urban	ACLI19_g23963	NA	hypothetical protein
5	56900000	57000000	Urban	ACLI19_g23964	NA	hypothetical protein
5	56900000	57000000	Urban	ACLI19_g23961	NA	protein PSK SIMULATOR 2-like [Trifolium pratense]
5	56900000	57000000	Urban	ACLI19_g23965	NA	dnaJ homolog subfamily C member 2-like [Trifolium pratense]
16	350000	450000	Urban	ACLI19_g73304	NA	alpha/beta fold hydrolase [Trifolium pratense]
16	350000	450000	Urban	ACLI19_g73305	NA	hypothetical protein
16	350000	450000	Urban	ACLI19_g73306	DJA6	Chaperone protein dnaJ A6
16	350000	450000	Urban	ACLI19_g73307	NA	ubiquitin carboxyl-terminal hydrolase [Trifolium pratense]
16	350000	450000	Urban	ACLI19_g73308	NA	hypothetical protein
16	350000	450000	Urban	ACLI19_g73309	NA	hypothetical protein
16	350000	450000	Urban	ACLI19_g73310	NA	hypothetical protein
16	350000	450000	Urban	ACLI19_g73311	NA	hydroquinone glucosyltransferase
16	350000	450000	Urban	ACLI19_g73313	NA	hypothetical protein
16	350000	450000	Urban	ACLI19_g73315	NA	sterol 14alpha-demethylase
16	350000	450000	Urban	ACLI19_g73317	NA	hypothetical protein
16	350000	450000	Urban	ACLI19_g73312	NA	hydroquinone glucosyltransferase
16	350000	450000	Urban	ACLI19_g73314	NA	hypothetical protein
16	350000	450000	Urban	ACLI19_g73316	NA	hypothetical protein
5	46150000	46200000	Urban	ACLI19_g22843	NA	defensin-like protein 1 [Medicago truncatula]
5	46150000	46200000	Urban	ACLI19_g22844	NA	auxin-induced protein 6B-like [Trifolium pratense]
5	46150000	46200000	Urban	ACLI19_g22845	NA	saccharopepsin
5	46150000	46200000	Urban	ACLI19_g22846	NA	hypothetical protein
5	46150000	46200000	Urban	ACLI19_g22847	NA	probable magnesium transporter NIPA6 isoform X1 [Trifolium pratense]
5	32400000	32450000	Urban	ACLI19_g22023	NA	[pyruvate dehydrogenase (acetyl-transferring)]-phosphatase
5	32400000	32450000	Urban	ACLI19_g22024	NA	hypothetical protein
