xpnsl_chr,xpnsl_start,xpnsl_end,direction,all_xpnsl_ranks,arg_chr,arg_start,arg_end,regionID,id,arg_branch_fst,arg_branch_divergence,arg_branch_pi_urban,arg_branch_pi_rural,arg_branch_td_urban,arg_branch_td_rural,arg_branch_ss_urban,arg_branch_ss_rural
Chr07_Pall,49418066,49518066,Rural sel,"13,92",Chr07_Pall,49469389,49469389,50,Chr07_Pall_region50,0.0538979827246584,241216.780278063,216989.303648489,213871.592897267,-1.93843600922298,-1.49932875060145,2409990.20780689,1843190.19299749
Chr07_Pall,49418066,49518066,Rural sel,"13,92",Chr07_Pall,49469424,49469424,50,Chr07_Pall_region50,0.0529184890278489,240993.007205384,217399.9581814,213871.592897267,-1.93229539322997,-1.49932857912733,2405100.49032371,1843190.19299749
Chr07_Pall,49418066,49518066,Rural sel,"13,92",Chr07_Pall,49469436,49469436,50,Chr07_Pall_region50,0.0504009803489398,238718.463378208,218285.419880503,211681.951414302,-1.91514413820831,-1.51262174091848,2386219.89047424,1838433.61562233
Chr05_Occ,3260042,3310042,Urban sel,84,Chr05_Occ,3300809,3300809,4,Chr05_Occ_region4,0.0590434622809168,228676.150408994,185609.507287406,217373.234221623,-1.73736476938052,-1.47953747788262,1825542.38503912,1856217.67779796
Chr05_Occ,3260042,3310042,Urban sel,84,Chr05_Occ,3300821,3300821,4,Chr05_Occ_region4,0.0595782792914815,228798.343619559,185266.441867191,217514.564448613,-1.73942336223516,-1.48052108181953,1824085.67558447,1858283.23940354
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4809662,4809662,5,Chr05_Occ_region5,0.0561696481268796,189399.717156096,78161.8197361071,257439.711024445,-2.65572774635441,-1.12907037151054,1635520.15055381,1812152.61236024
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4809668,4809668,5,Chr05_Occ_region5,0.0519934636130841,197922.421726009,90867.8261587469,263088.079429173,-2.53918206707381,-1.0921102369614,1649466.59730897,1823279.44853938
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4817052,4817052,5,Chr05_Occ_region5,0.0507875148589061,142004.666334711,72148.6577653731,183437.237870616,-2.62067425273383,-1.75323691712841,1447903.64086571,1818720.8722171
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4818473,4818473,5,Chr05_Occ_region5,0.0574262361222731,150344.648953122,74710.9178415917,191979.395327915,-2.61356542590594,-1.65356072474875,1480690.44746016,1777967.83190286
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4818882,4818882,5,Chr05_Occ_region5,0.050165316151733703,167248.28820447,86354.5461231074,214515.687233114,-2.57553419767233,-1.638956885525,1637990.7914041,1974486.15971405
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4818918,4818918,5,Chr05_Occ_region5,0.0521764875010944,163635.041303572,81298.3396006578,211832.448931239,-2.6100347853432,-1.62782919805811,1603115.35822065,1939521.96520182
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4818927,4818927,5,Chr05_Occ_region5,0.0521764875010944,163635.041303572,81298.3396006578,211832.448931239,-2.61003506131703,-1.62782934249344,1603115.35822065,1939521.96520182
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4818942,4818942,5,Chr05_Occ_region5,0.0515558810710056,160436.136586806,78876.1808506263,208888.032050132,-2.62888220007506,-1.64949122334045,1591421.68669834,1935421.415895
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4819499,4819499,5,Chr05_Occ_region5,0.0504046247615879,168064.641896992,83532.9801114502,218833.547642425,-2.61351036500597,-1.58969733581301,1651025.20796841,1954986.55019487
Chr05_Occ,4760042,4910042,Urban sel,"1,2,7",Chr05_Occ,4821070,4821070,5,Chr05_Occ_region5,0.0502379643591486,168994.811140945,72629.1001121892,231238.065960561,-2.6884202074827,-1.5513264534384,1577757.56725828,1990090.14652894
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624342,59624342,60,Chr06_Occ_region60,0.057686070348874,483065.341949476,378283.211373455,476466.044047125,-0.344011575570279,-0.25024567510353,1987062.97975096,2474186.13460997
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624368,59624368,60,Chr06_Occ_region60,0.055961953962949,482668.302917353,378283.211373455,479539.958100934,-0.344010651586803,-0.225423562642415,1987062.97975096,2469898.09034827
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624369,59624369,60,Chr06_Occ_region60,0.055961953962949,482668.302917353,378283.211373455,479539.958100934,-0.344010651586803,-0.225423562642415,1987062.97975096,2469898.09034827
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624370,59624370,60,Chr06_Occ_region60,0.0603824224587764,486205.420655781,378348.965193633,477500.176742007,-0.369131104830625,-0.206566958558643,2003467.29416709,2447799.11561026
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624384,59624384,60,Chr06_Occ_region60,0.0604839183238647,486366.730698208,378493.846488971,477444.747911439,-0.42289833099515,-0.20604580170533,2039612.39288999,2447198.60010837
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624387,59624387,60,Chr06_Occ_region60,0.0606188984063689,486901.081915426,379308.065237727,477449.389923198,-0.459895025229688,-0.207478768376077,2080114.38188223,2448683.18983698
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624393,59624393,60,Chr06_Occ_region60,0.0606811700596743,487146.594623621,379682.165723752,477451.522739297,-0.473135147329546,-0.20813437194327,2098723.40284881,2449365.29859445
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624394,59624394,60,Chr06_Occ_region60,0.0606811700596743,487146.594623621,379682.165723752,477451.522739297,-0.473136101824138,-0.208134817358672,2098723.40284881,2449365.29859445
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624402,59624402,60,Chr06_Occ_region60,0.060621504754015,487243.882387446,379943.046784931,477451.522739297,-0.475011046324238,-0.208134838568995,2101737.52256465,2449365.29859445
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624414,59624414,60,Chr06_Occ_region60,0.0605726232197219,487323.680214327,380157.027875025,477451.522739297,-0.476539901880801,-0.20813437194327,2104209.77800378,2449365.29859445
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624415,59624415,60,Chr06_Occ_region60,0.0553981526763501,485719.847043098,390500.439577777,473703.675455462,-0.353097720592929,-0.183522621167942,2075162.22741143,2405941.90100293
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624499,59624499,60,Chr06_Occ_region60,0.0527030532022927,481386.844469588,395134.341082505,465411.378308263,-0.492842361220432,-0.132358889027913,2220282.40717839,2323911.25978674
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624505,59624505,60,Chr06_Occ_region60,0.0532124333871465,481912.479890166,395134.341082505,465380.480106061,-0.49284227436632,-0.147416654313177,2220282.40717839,2335210.50445029
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624509,59624509,60,Chr06_Occ_region60,0.055929315326568,480744.503332075,387987.107540733,465380.480106061,-0.537265249461896,-0.147416691642532,2214951.6805351,2335210.50445029
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624515,59624515,60,Chr06_Occ_region60,0.0532601153612543,480161.05352566,392104.535016376,465379.740548766,-0.562672661600861,-0.147829783614498,2256580.58218192,2335534.16348836
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624528,59624528,60,Chr06_Occ_region60,0.0545258234521446,482679.816060169,394167.233720132,465310.986181873,-0.57275660321916,-0.167851870312389,2276989.14415846,2351674.80474597
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624543,59624543,60,Chr06_Occ_region60,0.0591189207786072,484902.704915823,393127.415162246,461436.566121475,-0.581734528945115,-0.179994938851903,2271648.6092721,2335675.03617485
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624562,59624562,60,Chr06_Occ_region60,0.0668663328004384,491726.405345268,394610.497170186,457132.956174351,-0.443997325002106,-0.189335943819002,2149946.02193162,2316181.55471995
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624571,59624571,60,Chr06_Occ_region60,0.0639383831789552,491784.376410992,398811.830673858,458546.126041063,-0.34586879262354697,-0.174434812709421,2100838.64698752,2311520.40542522
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624595,59624595,60,Chr06_Occ_region60,0.0612792009966871,490890.299660177,402276.034934016,458504.789031443,-0.307887129043615,-0.163921794262761,2093831.14804978,2303912.32095552
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624600,59624600,60,Chr06_Occ_region60,0.0612792009966871,490890.299660177,402276.034934016,458504.789031443,-0.307886455655649,-0.163921390448319,2093831.14804978,2303912.32095552
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624601,59624601,60,Chr06_Occ_region60,0.0613285652243952,490867.495897749,402256.531333691,458391.11780413,-0.306756887373094,-0.160585952481442,2093938.03371609,2301161.7544841
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624604,59624604,60,Chr06_Occ_region60,0.0613408026350047,490885.597938014,402266.458274986,458387.257495457,-0.309171227911675,-0.169702679782563,2096004.19973266,2307696.04918329
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624614,59624614,60,Chr06_Occ_region60,0.061322965903320197,490952.416176997,402309.931816214,458488.712771385,-0.316381836718493,-0.195121857091223,2100985.81267148,2326465.36902579
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624618,59624618,60,Chr06_Occ_region60,0.0587760063935459,489281.935897656,402309.931816214,460289.616502572,-0.316381879328064,-0.197576956749515,2100985.81267148,2337549.1363411
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624623,59624623,60,Chr06_Occ_region60,0.0552731115934192,489036.639346438,409344.500853132,459378.243492116,-0.286217220895372,-0.224313130883216,2118221.00985622,2353620.67550182
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624632,59624632,60,Chr06_Occ_region60,0.0519739623658059,492562.067707055,429019.31032847,452288.941060116,-0.203321681951712,-0.292771308217388,2166425.70002273,2370627.1801041
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624637,59624637,60,Chr06_Occ_region60,0.0627035560016303,489589.923077738,405808.330177373,450006.368699343,-0.354413718242657,-0.282905836838234,2149478.00654393,2350964.74298433
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624718,59624718,60,Chr06_Occ_region60,0.0555929969052959,472320.68171837,389592.359389011,449676.395564815,-0.419131540774259,-0.244666169245857,2103719.53561965,2315153.65607091
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624831,59624831,60,Chr06_Occ_region60,0.0511310503458216,460167.35297391,371736.002467525,454558.614733524,-0.403925467745575,-0.0803680300400643,1995951.11658464,2216736.09736134
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624842,59624842,60,Chr06_Occ_region60,0.0525288075372856,464819.363798173,377300.083667208,454401.189902572,-0.353051038740395,-0.101363245776534,1994926.95939115,2235803.81014368
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624859,59624859,60,Chr06_Occ_region60,0.0555518184288316,467743.759431374,377621.913715847,453981.841541201,-0.347259346860428,-0.154211453726513,1993163.65778637,2275412.35229352
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624864,59624864,60,Chr06_Occ_region60,0.056124447633863,468266.002209585,377691.633724293,454001.648400403,-0.344689689483951,-0.158522042186803,1992072.04462744,2279419.48859536
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624868,59624868,60,Chr06_Occ_region60,0.0550722656868509,467404.700982782,377691.633724293,454320.464710821,-0.3446896101058,-0.149462309506523,1992072.04462744,2274761.48414453
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624871,59624871,60,Chr06_Occ_region60,0.0510959605930234,464162.155658427,377691.633724293,455520.714175819,-0.344689808551274,-0.115009032230212,1992072.04462744,2257225.46993389
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624879,59624879,60,Chr06_Occ_region60,0.0511999120243176,464439.685453578,377691.633724293,455881.168957523,-0.344689610105799,-0.156802742753412,1992072.04462744,2287883.83791317
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624882,59624882,60,Chr06_Occ_region60,0.0501585647445864,463482.34111522,377612.057455937,456437.45234431,-0.345628623377083,-0.177625933577314,1992232.49606442,2304377.5185469
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59624902,59624902,60,Chr06_Occ_region60,0.0517757750345443,474550.696866802,387839.232518502,462211.779774801,-0.509590579346567,-0.185662223606131,2156620.77802428,2344649.80880703
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59625017,59625017,60,Chr06_Occ_region60,0.0520657410836012,473836.086928219,383255.144648591,460755.099145443,-0.583251608718674,-0.248255141713817,2161750.15680948,2375122.60730567
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59625026,59625026,60,Chr06_Occ_region60,0.0502020739594622,473847.821553042,386577.326454672,460969.758061567,-0.60369299057353,-0.248993979343616,2200918.59016718,2383536.19726137
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59625088,59625088,60,Chr06_Occ_region60,0.0509463424923927,481243.064034787,390335.619455066,470115.479191352,-0.626685134004706,-0.0375117900195185,2224354.62727218,2278917.52969135
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59625089,59625089,60,Chr06_Occ_region60,0.051197009267358,481672.745141666,390664.174692586,469736.990851713,-0.616065012520941,-0.0168349194785822,2216220.63488343,2265816.51231515
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59625095,59625095,60,Chr06_Occ_region60,0.0515703165157192,482313.961530072,391154.480175936,469172.169819763,-0.599488020482189,0.0148094615715801,2204082.21609021,2246265.76430244
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59625244,59625244,60,Chr06_Occ_region60,0.0503747857683919,412997.548593048,281804.685535562,455821.805457017,-1.34162085306705,-0.00468318858600169,2170374.1307554,2142454.43939179
Chr06_Occ,59622456,59672456,Urban sel,38,Chr06_Occ,59626131,59626131,60,Chr06_Occ_region60,0.0504937182890217,486560.633185972,401246.06396343,467762.995311228,-0.456824749901794,-0.311105953316989,2161775.70127887,2418247.86213853
Chr08_Occ,1270573,1320573,Urban sel,45,Chr08_Occ,1304795,1304795,2,Chr08_Occ_region2,0.0508642243725479,236700.419371823,169637.862535046,258052.094873444,-1.2526463807406,-0.925238580773307,1304522.28602178,1728284.97758713
Chr08_Occ,1270573,1320573,Urban sel,45,Chr08_Occ,1304835,1304835,2,Chr08_Occ_region2,0.0629503119874471,253183.00043987,183045.645347124,263057.67236932,-1.07770420857671,-0.868406033809067,1305571.51101197,1723385.91414316
Chr08_Occ,1270573,1320573,Urban sel,45,Chr08_Occ,1305503,1305503,2,Chr08_Occ_region2,0.0794655563965903,279987.194057382,200753.713749661,275469.146714347,-0.807304940334132,-0.752876995982247,1271433.79769524,1711924.77042817
Chr08_Occ,1270573,1320573,Urban sel,45,Chr08_Occ,1305621,1305621,2,Chr08_Occ_region2,0.0786918110258535,279506.7716607,199151.748850784,277169.967157331,-0.96624569971923,-0.921147304217339,1343060.23111099,1837686.01452625
Chr08_Occ,1270573,1320573,Urban sel,45,Chr08_Occ,1305718,1305718,2,Chr08_Occ_region2,0.0810974788137282,276703.238506302,194282.080351442,274997.342311432,-1.27989145265517,-1.0508828955354,1511826.69014278,1937459.07864392
Chr08_Occ,1270573,1320573,Urban sel,45,Chr08_Occ,1305850,1305850,2,Chr08_Occ_region2,0.0855681072745461,273637.812182017,189463.59046586,270363.433886954,-1.27576070606845,-1.0598487880592,1471987.2370095,1912857.02291387
Chr08_Occ,61020573,61070573,Urban sel,110,Chr08_Occ,61036696,61036696,62,Chr08_Occ_region62,0.051502406153628597,300537.680407177,249336.034510021,292693.500380582,-1.63513874121201,-1.37959126805049,2322157.35613187,2402443.03354419
