Chr	winID	start	end	winCenter	mean_perm_perc	prop_perm_perc
Chr05_Occ	88	4360042	4410042	4385042	0.8145080427034269	0.42614952940284295
Chr01_Occ	924	46151721	46201721	46176721	0.7947404342807067	0.6175481761727012
Chr01_Occ	1141	57001721	57051721	57026721	0.7940157904936846	0.7369964357636987
Chr04_Occ	1077	53805352	53855352	53830352	0.7906453542749771	0.6780643584795962
Chr01_Occ	926	46251721	46301721	46276721	0.7890612492521845	0.8040596904254333
Chr06_Pall	258	12874841	12924841	12899841	0.787949005300011	0.7363644789726911
Chr01_Pall	1296	64779843	64829843	64804843	0.7862469350095637	0.6113044430775453
Chr05_Occ	66	3260042	3310042	3285042	0.762561194482596	0.5403314824021099
Chr05_Pall	1118	55852905	55902905	55877905	0.7576909141465634	0.7437541603822074
Chr03_Occ	1174	58708557	58758557	58733557	0.7573538705246926	0.6979415060794243
Chr05_Pall	96	4752905	4802905	4777905	0.7428188643315161	0.8608431146201098
Chr04_Occ	1022	51055352	51105352	51080352	0.725056665458927	0.5523386614312558
Chr08_Occ	1167	58320573	58370573	58345573	0.7240118302311277	0.7090723716917062
Chr01_Pall	1274	63679843	63729843	63704843	0.7230428298182492	0.47918334330420714
Chr07_Occ	953	47617332	47667332	47642332	0.7221328120391982	0.5598968646517075
Chr03_Occ	680	34008557	34058557	34033557	0.7158216702196681	0.7843173602743535
Chr01_Pall	164	8179843	8229843	8204843	0.7114232509542547	0.7338197996275668
Chr01_Occ	553	27601721	27651721	27626721	0.7039661608203642	0.35783921334018653
Chr03_Occ	1173	58658557	58708557	58683557	0.6819403601311099	0.6495420419787831
Chr04_Occ	1068	53355352	53405352	53380352	0.6797327244078565	0.5635706401300988
Chr01_Pall	895	44729843	44779843	44754843	0.6684838935279198	0.7148105393540559
Chr03_Occ	1182	59108557	59158557	59133557	0.6637568567311825	0.754969286899957
Chr03_Occ	681	34058557	34108557	34083557	0.6354788968562256	0.8426006285863548
Chr04_Occ	262	13055352	13105352	13080352	0.6315102082086974	0.7708777458522569
Chr02_Occ	853	42607793	42657793	42632793	0.6264377016995425	0.6393970289604732
Chr02_Occ	842	42057793	42107793	42082793	0.6086755028269534	0.7068057533346254
Chr08_Occ	407	20320573	20370573	20345573	0.5983366897260678	0.573049991995214
Chr05_Pall	91	4502905	4552905	4527905	0.5948904186924393	0.560461412718341
Chr01_Pall	893	44629843	44679843	44654843	0.5942247575392445	0.8109775107643307
Chr04_Occ	1082	54055352	54105352	54080352	0.5937444703780786	0.6071588065285349
Chr08_Pall	9	422347	472347	447347	0.5861272845237995	0.8238188727576067
Chr01_Pall	366	18279843	18329843	18304843	0.5838606661667186	0.6833138128902333
Chr02_Pall	121	6011600	6061600	6036600	0.5755946713403383	0.8095703536430202
Chr06_Pall	818	40874841	40924841	40899841	0.5743476099394164	0.2616385375677247
Chr04_Pall	987	49302531	49352531	49327531	0.5736482444240346	0.8044220123189444
Chr03_Occ	1101	55058557	55108557	55083557	0.5693762165168227	0.5103177478745187
Chr05_Pall	518	25852905	25902905	25877905	0.556669671972295	0.601943056480085
Chr08_Occ	1294	64670573	64720573	64695573	0.5549338973196606	0.5849644840283453
Chr06_Occ	391	19522456	19572456	19547456	0.5471903201071798	0.3690374876768426
Chr03_Occ	913	45658557	45708557	45683557	0.5361352893098189	0.41772343885607394
Chr04_Occ	1018	50855352	50905352	50880352	0.534382662476091	0.32790973971806303
Chr06_Occ	449	22422456	22472456	22447456	0.5299589649390373	0.42143091869665233
Chr08_Occ	8	370573	420573	395573	0.5229400315135786	0.651623286343835
Chr02_Pall	581	29011600	29061600	29036600	0.515887393725933	0.3145291079297938
Chr08_Occ	410	20470573	20520573	20495573	0.5070905551951062	0.3371784393195089
Chr02_Occ	129	6407793	6457793	6432793	0.4893199302319703	0.45968536977898367
Chr02_Pall	715	35711600	35761600	35736600	0.47757396000977426	0.60643416274151285
Chr06_Pall	474	23674841	23724841	23699841	0.46754691225911915	0.7254274134429849
Chr03_Occ	1039	51958557	52008557	51983557	0.4600561177630415	0.479916413181776
Chr08_Occ	10	470573	520573	495573	0.45939045660984673	0.19278895171007507
Chr03_Occ	780	39008557	39058557	39033557	0.4582023778427523	0.3261655389748818
Chr06_Pall	284	14174841	14224841	14199841	0.45653401191449205	0.6738765914778521
Chr05_Pall	24	1152905	1202905	1177905	0.4432123627600502	0.4874661903116811
Chr05_Occ	897	44810042	44860042	44835042	0.43134842727019945	0.26393043419644585
Chr05_Occ	611	30510042	30560042	30535042	0.42873633920070103	0.5228810488797513
Chr08_Occ	411	20520573	20570573	20545573	0.425054137631763	0.4357384204450661
Chr03_Occ	1053	52658557	52708557	52683557	0.4230318759005384	0.6025328828183588
Chr03_Occ	1122	56108557	56158557	56133557	0.4148248637079854	0.16786457587273232
Chr05_Occ	172	8560042	8610042	8585042	0.4085979827939231	0.6706072683457056
Chr03_Occ	6	308557	358557	333557	0.39287489783365215	0.19195476874594494
Chr07_Occ	373	18617332	18667332	18642332	0.38649634728974797	0.35580852551841524
Chr04_Pall	1036	51752531	51802531	51777531	0.3844656594679766	0.2604420327100835
Chr08_Occ	11	520573	570573	545573	0.34875588773076954	0.5906268168757741
Chr08_Occ	1221	61020573	61070573	61045573	0.34329578105646325	0.2788530405547738
Chr04_Pall	901	45002531	45052531	45027531	0.32869336613891253	0.321708137075641
Chr04_Pall	939	46902531	46952531	46927531	0.32684805230917013	0.39283276738091827
Chr01_Pall	392	19579843	19629843	19604843	0.319483649171294	0.774012251535655
Chr03_Occ	61	3058557	3108557	3083557	0.3102655061131287	0.27306431634914347
Chr04_Occ	1135	56705352	56755352	56730352	0.30364259894336826	0.1872614363113946
Chr03_Occ	682	34108557	34158557	34133557	0.29758423984024135	0.22588663537778378
Chr02_Pall	580	28961600	29011600	28986600	0.2897648278128397	0.2317006378550544
Chr04_Occ	1210	60455352	60505352	60480352	0.27086510671643677	0.184110078446903
Chr03_Occ	1172	58608557	58658557	58633557	0.2701741672916017	0.17869210222533052
Chr08_Pall	7	322347	372347	347347	0.2648235997944034	0.6667818232374725
Chr01_Pall	891	44529843	44579843	44554843	0.2565997354207568	0.5212800916758652
Chr04_Pall	270	13452531	13502531	13477531	0.2529428121234591	0.4601993613023366
Chr02_Occ	1038	51857793	51907793	51882793	0.2512828722857456	0.3282046528871999
Chr06_Occ	1131	56522456	56572456	56547456	0.24938700191272256	0.3215227630836121
Chr05_Pall	92	4552905	4602905	4577905	0.22739490558565542	0.24171083342461597
Chr04_Occ	1036	51755352	51805352	51780352	0.2142923347854296	0.4256692422416771
Chr01_Pall	191	9529843	9579843	9554843	0.20755988843856116	0.16995424632833103
Chr08_Occ	812	40570573	40620573	40595573	0.1965891185466679	0.4039720590837469
